scian_rama,n_establecimientos,n_prioritarios,score_fit_promedio,pct_total
4611,4144,2862,7.076254826254826,10.71
7225,3858,0,5.0,9.97
8111,2402,0,5.0,6.21
8121,2351,0,5.0,6.08
3118,1490,0,5.0,3.85
6211,946,0,5.0,2.45
6111,855,0,5.0,2.21
4632,841,0,5.0,2.17
4621,813,813,8.0,2.1
4671,794,0,5.0,2.05
8132,732,0,5.0,1.89
8114,717,0,5.0,1.85
5221,685,0,5.0,1.77
4641,657,485,7.2146118721461185,1.7
3323,510,0,5.0,1.32
4664,508,0,5.0,1.31
4342,507,0,5.0,1.31
4653,495,0,5.0,1.28
4682,485,0,5.0,1.25
4612,482,0,5.0,1.25
6212,464,0,5.0,1.2
5411,401,0,5.0,1.04
6213,399,0,5.0,1.03
5311,357,0,5.0,0.92
4311,345,65,5.565217391304348,0.89
4684,327,0,5.0,0.85
3121,314,0,5.0,0.81
4651,302,0,5.0,0.78
4663,302,0,5.0,0.78
4659,295,0,5.0,0.76
8113,273,0,5.0,0.71
4662,270,0,5.0,0.7
7139,268,0,5.0,0.69
3219,266,0,5.0,0.69
3371,259,0,5.0,0.67
9316,233,0,5.0,0.6
6116,228,0,5.0,0.59
8112,227,0,5.0,0.59
4661,226,0,5.0,0.58
5412,222,0,5.0,0.57
5413,201,0,5.0,0.52
4354,189,0,5.0,0.49
9312,188,0,5.0,0.49
4343,187,0,5.0,0.48
5224,184,0,5.0,0.48
3231,174,0,5.0,0.45
6215,170,0,5.0,0.44
5419,170,0,5.0,0.44
4681,162,0,5.0,0.42
6241,154,0,5.0,0.4
8122,151,0,5.0,0.39
4652,149,0,5.0,0.39
5416,145,0,5.0,0.37
5322,143,0,5.0,0.37
8124,138,0,5.0,0.36
3152,137,0,5.0,0.35
4353,136,0,5.0,0.35
9314,135,0,5.0,0.35
4633,134,0,5.0,0.35
2361,125,0,5.0,0.32
5614,122,0,5.0,0.32
5312,119,0,5.0,0.31
5242,115,0,5.0,0.3
2362,111,0,5.0,0.29
8131,106,0,5.0,0.27
4842,106,0,5.0,0.27
4341,106,0,5.0,0.27
5324,99,0,5.0,0.26
3399,97,0,5.0,0.25
1141,92,0,5.0,0.24
2382,89,0,5.0,0.23
8129,88,0,5.0,0.23
6113,85,0,5.0,0.22
7224,84,0,5.0,0.22
5313,83,0,5.0,0.21
7211,82,0,5.0,0.21
4352,82,0,5.0,0.21
5173,81,0,5.0,0.21
3327,80,0,5.0,0.21
7223,78,0,5.0,0.2
4841,78,0,5.0,0.2
5616,77,0,5.0,0.2
6244,76,0,5.0,0.2
3119,74,0,5.0,0.19
5418,72,0,5.0,0.19
3115,70,0,5.0,0.18
4361,69,0,5.0,0.18
7132,68,0,5.0,0.18
3116,64,0,5.0,0.17
4921,64,0,5.0,0.17
5415,64,0,5.0,0.17
4631,59,0,5.0,0.15
3273,58,0,5.0,0.15
4885,58,0,5.0,0.15
3271,57,0,5.0,0.15
5321,57,0,5.0,0.15
3222,57,0,5.0,0.15
5617,55,0,5.0,0.14
5414,52,0,5.0,0.13
9313,49,0,5.0,0.13
4351,46,0,5.0,0.12
3149,44,0,5.0,0.11
2371,44,0,5.0,0.11
2372,43,0,5.0,0.11
3261,42,0,5.0,0.11
5231,41,0,5.0,0.11
2373,41,0,5.0,0.11
2131,40,0,5.0,0.1
3279,38,0,5.0,0.1
8123,38,0,5.0,0.1
4622,35,0,5.0,0.09
2381,35,0,5.0,0.09
2383,32,0,5.0,0.08
6242,32,0,5.0,0.08
5611,31,0,5.0,0.08
1151,31,0,5.0,0.08
4852,30,0,5.0,0.08
4331,29,0,5.0,0.07
5613,28,0,5.0,0.07
3114,28,0,5.0,0.07
4321,27,0,5.0,0.07
7113,27,0,5.0,0.07
6214,26,0,5.0,0.07
5241,26,0,5.0,0.07
6232,26,0,5.0,0.07
6221,25,0,5.0,0.06
4334,24,0,5.0,0.06
6223,24,0,5.0,0.06
6233,24,0,5.0,0.06
5615,24,0,5.0,0.06
1125,23,0,5.0,0.06
3112,23,0,5.0,0.06
4332,23,0,5.0,0.06
4683,22,0,5.0,0.06
3391,22,0,5.0,0.06
2389,22,0,5.0,0.06
6115,22,0,5.0,0.06
4312,21,15,7.142857142857143,0.05
3363,20,0,5.0,0.05
5192,20,0,5.0,0.05
2213,20,0,5.0,0.05
2211,20,0,5.0,0.05
7111,19,0,5.0,0.05
7131,19,0,5.0,0.05
3334,19,0,5.0,0.05
4335,19,0,5.0,0.05
5417,19,0,5.0,0.05
7213,18,0,5.0,0.05
3256,17,0,5.0,0.04
5121,17,0,5.0,0.04
2123,17,0,5.0,0.04
3162,17,0,5.0,0.04
9315,17,0,5.0,0.04
5131,16,0,5.0,0.04
5179,15,0,5.0,0.04
4884,15,0,5.0,0.04
4811,15,0,5.0,0.04
3344,15,0,5.0,0.04
5323,14,0,5.0,0.04
7121,14,0,5.0,0.04
2122,13,0,5.0,0.03
3372,13,0,5.0,0.03
4911,13,0,5.0,0.03
4851,13,0,5.0,0.03
4373,13,0,5.0,0.03
3111,12,0,5.0,0.03
3339,12,0,5.0,0.03
6239,12,0,5.0,0.03
5621,11,0,5.0,0.03
3333,11,0,5.0,0.03
4854,11,0,5.0,0.03
3329,11,0,5.0,0.03
6219,11,0,5.0,0.03
3141,11,0,5.0,0.03
7115,11,0,5.0,0.03
5223,11,0,5.0,0.03
3113,10,0,5.0,0.03
5619,10,0,5.0,0.03
3255,10,0,5.0,0.03
5161,9,0,5.0,0.02
3253,9,0,5.0,0.02
3362,9,0,5.0,0.02
4931,9,0,5.0,0.02
4881,9,0,5.0,0.02
3312,8,0,5.0,0.02
3326,8,0,5.0,0.02
3159,8,0,5.0,0.02
4855,8,0,5.0,0.02
1152,7,0,5.0,0.02
5612,7,0,5.0,0.02
3151,7,0,5.0,0.02
9318,7,0,5.0,0.02
3359,7,0,5.0,0.02
6114,7,0,5.0,0.02
3274,7,0,5.0,0.02
3379,7,0,5.0,0.02
5629,7,0,5.0,0.02
3364,6,0,5.0,0.02
4871,6,0,5.0,0.02
2379,6,0,5.0,0.02
4922,6,0,5.0,0.02
3328,5,0,5.0,0.01
9311,5,0,5.0,0.01
3241,5,0,5.0,0.01
3315,5,0,5.0,0.01
3259,5,0,5.0,0.01
3169,5,0,5.0,0.01
6231,5,0,5.0,0.01
3117,5,0,5.0,0.01
4889,5,0,5.0,0.01
3335,5,0,5.0,0.01
4333,5,0,5.0,0.01
7112,4,0,5.0,0.01
5622,4,0,5.0,0.01
3353,4,0,5.0,0.01
3331,4,0,5.0,0.01
3262,4,0,5.0,0.01
3272,4,0,5.0,0.01
3254,4,0,5.0,0.01
6243,4,0,5.0,0.01
6222,3,0,5.0,0.01
4853,3,0,5.0,0.01
5222,3,0,5.0,0.01
5182,3,0,5.0,0.01
3332,3,0,5.0,0.01
3211,3,0,5.0,0.01
3251,3,0,5.0,0.01
6112,3,0,5.0,0.01
7212,2,0,5.0,0.01
4691,2,0,5.0,0.01
5511,2,0,5.0,0.01
3341,2,0,5.0,0.01
3324,2,0,5.0,0.01
4812,2,0,5.0,0.01
4859,2,0,5.0,0.01
4862,2,0,5.0,0.01
5239,2,0,5.0,0.01
4882,2,0,5.0,0.01
5122,2,0,5.0,0.01
5132,2,0,5.0,0.01
5174,2,0,5.0,0.01
3133,2,0,5.0,0.01
1153,1,0,5.0,0.0
9317,1,0,5.0,0.0
3325,1,0,5.0,0.0
3369,1,0,5.0,0.0
3361,1,0,5.0,0.0
4821,1,0,5.0,0.0
3351,1,0,5.0,0.0
3336,1,0,5.0,0.0
3314,1,0,5.0,0.0
5331,1,0,5.0,0.0
3345,1,0,5.0,0.0
3322,1,0,5.0,0.0
3161,1,0,5.0,0.0
3212,1,0,5.0,0.0
3132,1,0,5.0,0.0
